ID,Station,Sex,Age,Weight (gram),Weight Log10,Censored Weight,Ear (mm),Rostrum (mm),Hind Foot (mm),Tail (mm),Censored Tail,Species,Phallus,Genotype,HybridType,Distance,Latitude,Longitude,Year,Date,Left Ear,Right Ear,Zone Number,Zone,Trap Line,Trap Station,Reproductive Status,Pregnant,Female Reproductive Status,Reprodutive Comment,Vulva Condition,Past Years Recapture,Follow Up,Handlers,Issue,Comments,Collected,Ectoparasite Load,Botflies,Botfly Present,Fleas Observed,Ectoparasite Comment,Hair,Fecal,Symmatry,Type,Height,Midden Width Maximum(meters),Midden Width Minimum (meters),Substrate,Canopy,Scat,Scat Amount,Clippings,Clipping Species,Clipping Type,PredSE Weight Log10
1023,N-10,Male,Adult,365,2.562292864,no,38,9.75,41,213,0,fuscipes,N. fuscipes bullatior,fuscipes,,3036.32,35.782291,-120.79043,2010,"38,831 ",3332,3333,4,Near Sympatry (fuscipes),N,10,Scrotal,,,,,no,,JH Bender and MM Koenig,updated genotype,,,Low,0,no,Moderate,,no,0,Symmetrical,Typical,1,1.75,1.5,Stick,Red Willow,absent,absent,present,Salix laevigata,old,0.005193116
1024,TB--,Male,Adult,405,2.607455023,no,36,,45,213,0,fuscipes,N. fuscipes bullatior,fuscipes,,-1060.29,35.776963,-120.792369,2008,"38,163 ",590,590,4,Near Sympatry (fuscipes),TB,0,,,,,,,,JC Crawford,,,,High,0,no,,,no,0,,,,,,,,,,,,,0.004789872
1025,NC-1,Female,Adult,375,2.574031268,no,39,10.25,40,214,0,hybrid,n/a,hybrid,F1,-1815.57,35.778744,-120.791045,2010,"38,839 ",3512,3513,4,Near Sympatry (fuscipes),NC,1,Post Lactate,,Parous,One recent scar around teats,Nonperforate,no,,JH Bender and MM Koenig,updated genotype,,,Low,0,no,None,,no,0,Symmetrical,Typical,1,1.5,1.25,Crook of Tree,Red Willow,absent,absent,present,twigs with bark stripped,old,0.009677049
1026,NC-5,Male,Adult,385,2.58546073,no,37,9.93,44,214,0,hybrid,intermediate,hybrid,F1,-1738.19,35.778569,-120.791193,2010,"38,839 ",3514,3515,4,Near Sympatry (fuscipes),NC,5,Scrotal,,,Bright red tip of phallus,,no,,JH Bender and MM Koenig,updated genotype,,,Low,0,no,Few,1 Botfly scar on neck,no,0,Symmetrical,Typical,1.5,1.5,1.5,Crook of Tree,Red Willow,present,Low,present,Salix spp.,fresh,0.009647373
1027,N-1,Female,Adult,273,2.436162647,no,38,,39,215,0,fuscipes,n/a,fuscipes,,3023.98,35.782269,-120.790472,2010,"38,831 ",3322,3323,4,Near Sympatry (fuscipes),N,1,Lactating,,Parous,,Nonperforate,no,Rostrum,JH Bender and MM Koenig,updated genotype,,,Medium,0,no,Many,,no,0,,,,,,,,,,,,,0.004936049
1028,N-15,Female,Adult,305,2.484299839,no,37,9.32,40,215,0,fuscipes,n/a,fuscipes,,2964.06,35.782081,-120.79045,2010,"38,837 ",3392,3393,4,Near Sympatry (fuscipes),N,15,Lactating,,Parous,,Nonperforate,no,,JH Bender and MM Koenig,,,,Low,0,no,None,,no,0,Asymmetrical,Atypical,1,2.75,1.75,Stick,Willow Species,present,Low,present,Salix spp.,old,0.004928524
1029,N-22,Female,Adult,315,2.498310554,no,32,8.42,38,216,0,fuscipes,n/a,fuscipes,,2885.74,35.7819,-120.7906,2010,"38,829 ",3313,B80,4,Near Sympatry (fuscipes),N,22,Lactating,,Parous,,Nonperforate,no,,"JH Bender, PJ Murphy, CR Feldman",updated genotype,,,Low,0,no,None,,no,0,Symmetrical,Typical,0.75,1.25,1,Stick,Willow Species,absent,absent,present,Salix spp.,fresh,0.004918743
1030,NC-20,Male,Adult,370,2.568201724,no,38,11.2,42,216,0,fuscipes,N. fuscipes bullatior,fuscipes,,-1528.46,35.778273,-120.791934,2010,"38,866 ",3712,3713,4,Near Sympatry (fuscipes),NC,20,Scrotal,,,,,no,,JH Bender and MM Koenig,updated genotype,,,Low,0,no,Few,,no,0,Asymmetrical,Atypical,1,1.5,0.75,Log with Sticks,Red Willow,present,Low,present,Salix spp.,old,0.004757383
1031,NC-46,Male,Adult,445,2.648360011,no,40,9.65,43,216,0,fuscipes,N. fuscipes bullatior,fuscipes,,-1291.62,35.777513,-120.791969,2010,"38,846 ",3606,3607,4,Near Sympatry (fuscipes),NC,46,Scrotal,,,,,no,,JH Bender and MM Koenig,,,,Medium,0,no,Many,,no,0,Symmetrical,Typical,0.75,2,1,Stick,Red Willow,absent,absent,absent,,absent,0.004773366
1032,TB-9B,Female,Adult,335,2.525044807,no,35,,,217,0,fuscipes,n/a,fuscipes,,-1286.71,35.777712,-120.792371,2008,"38,163 ",583,583,4,Near Sympatry (fuscipes),TB,0,,,Parous,,,,Expelled bloody mucous from vagina while holding?ó?é??ªmenstration? Miscarriage?,JC Crawford,,,,High,0,no,,,no,0,,,,,,,,,,,,,0.004507525
