ID,Station,Sex,Age,Weight (gram),Weight Log10,Censored Weight,Ear (mm),Rostrum (mm),Hind Foot (mm),Tail (mm),Censored Tail,Species,Phallus,Genotype,HybridType,Distance,Latitude,Longitude,Year,Date,Left Ear,Right Ear,Zone Number,Zone,Trap Line,Trap Station,Reproductive Status,Pregnant,Female Reproductive Status,Reprodutive Comment,Vulva Condition,Past Years Recapture,Follow Up,Handlers,Issue,Comments,Collected,Ectoparasite Load,Botflies,Botfly Present,Fleas Observed,Ectoparasite Comment,Hair,Fecal,Symmatry,Type,Height,Midden Width Maximum(meters),Midden Width Minimum (meters),Substrate,Canopy,Scat,Scat Amount,Clippings,Clipping Species,Clipping Type,PredSE Weight Log10
186,HR-6,Male,Adult,207,2.315970345,no,37,8,40,193,0,macrotis,N. macrotis luciana,unknown,,25540.57,35.758743,-120.878389,2010,"38,957 ",271,na,1,Allopatric (macrotis),HR,6,Partially Descended,,,Testes Partially Descended,,no,,"MM Koenig, AL Estacio, LR Anderson, C Faurot-Daniels",,,no,Low,0,no,Few,,no,0,,,,,,,,,,,,,0.009085734
188,MW-19,Male,Adult,248,2.394451681,no,34,9.28,37,195,0,macrotis,N. macrotis luciana,unknown,,24786.31,35.758812,-120.875797,2010,"38,957 ",197,na,1,Allopatric (macrotis),MW,19,Nonscrotal,,,,,no,,"JH Bender, WH Knowlton, SL Widin",,,no,Low,0,no,Few,,no,0,,,,,,,,,,,,,0.008660935
190,SNM-13,Female,Adult,264,2.421603927,no,32,8.57,35,196,0,macrotis,n/a,macrotis,,8816.69,35.756832,-120.814668,2010,"38,910 ",S182,S182,1,Allopatric (macrotis),SNM,13,Post Lactate,,Parous,,Nonperforate,no,,JH Bender and JA Cromer,,,,Low,0,no,Few,,yes,0,Symmetrical,Typical,0.75,1.75,1.75,Stick,Arroyo Willow,present,Medium,present,Salix lasiolepis,fresh,0.004587617
191,HR-20,Male,Adult,210,2.322219295,no,34,8.21,37,196,0,macrotis,N. macrotis luciana,unknown,,25540.57,35.758743,-120.878389,2010,"38,957 ",273,na,1,Allopatric (macrotis),HR,20,Partially Descended,,,Testes Partially Descended,,no,,"MM Koenig, AL Estacio, LR Anderson, C Faurot-Daniels",,,no,Low,0,no,Few,,no,0,,,,,,,,,,,,,0.009085734
192,SNM-29,Male,Adult,355,2.550228353,no,35,8.98,37,196,0,macrotis,N. macrotis luciana,macrotis,,8299.66,35.757853,-120.813456,2010,"38,910 ",S216,S216,1,Allopatric (macrotis),SNM,29,Scrotal,,,,,no,,MM Koenig and JW Cromer,updated genotype,,,Low,0,no,None,,yes,0,,,,,,,,,,,,,0.004406581
193,SNM-40,Female,Adult,270,2.431363764,no,35,8.84,37,197,0,macrotis,n/a,unknown,,7884.36,35.758529,-120.812287,2010,"38,911 ",S111,S111,1,Allopatric (macrotis),SNM,40,Post Lactate,,Parous,,Perforate,no,,MM Koenig and JW Cromer,,,,Low,0,no,Few,,no,0,Symmetrical,Typical,0.75,1,1,Stick,Arroyo Willow,present,Low,present,Salix exigua,fresh,0.004570232
194,HR-7,Male,Adult,222,2.346352974,no,36,7.65,38,197,0,macrotis,N. macrotis luciana,unknown,,25540.57,35.758743,-120.878389,2010,"38,957 ",MMK37,MMK37,1,Allopatric (macrotis),HR,7,Partially Descended,,,Testes Partially Descended,,,,"MM Koenig, AL Estacio, LR Anderson, C Faurot-Daniels",,right ear tattered,yes,Medium,0,no,Many,,,0,,,,,,,,,,,,,0.009085734
195,HR-19,Male,Adult,269,2.42975228,no,34,8.46,38,197,0,macrotis,N. macrotis luciana,unknown,,25540.57,35.758743,-120.878389,2010,"38,957 ",266,na,1,Allopatric (macrotis),HR,19,Scrotal,,,,,no,,"MM Koenig, AL Estacio, LR Anderson, C Faurot-Daniels",,,no,Low,0,no,Few,,no,0,,,,,,,,,,,,,0.009085734
196,ND-3,Female,Adult,231,2.36361198,no,36,7.82,37,198,0,macrotis,n/a,unknown,,24005.15,35.75807,-120.872856,2010,"38,960 ",7,7,1,Allopatric (macrotis),ND,3,Post Lactate,,Parous,Post Lactate,Perforate,no,,"MM Koenig, AL Estacio, SL Widin",,,yes,Low,0,no,Few,,no,0,,,,,,,,,,,,,0.008594412
197,MW-9,Male,Adult,218,2.338456494,no,37,8.17,37,198,0,macrotis,N. macrotis luciana,unknown,,24786.31,35.758812,-120.875797,2010,"38,957 ",192,na,1,Allopatric (macrotis),MW,9,Partially Descended,,,Testes Partially Descended,,no,,"JH Bender, WH Knowlton, SL Widin",,,no,Low,0,no,Few,,no,0,,,,,,,,,,,,,0.008660935
198,ND-17,Female,Adult,239,2.378397901,no,33,8.72,37,198,0,macrotis,n/a,unknown,,24005.15,35.75807,-120.872856,2010,"38,959 ",MMK52,MMK52,1,Allopatric (macrotis),ND,17,Post Lactate,,Parous,Post Lactate,Perforate,,,"MM Koenig, AL Estacio, SL Widin",,,yes,Low,0,no,Few,,,0,,,,,,,,,,,,,0.008594412
199,MW-20,Male,Adult,262,2.418301291,no,39,9.45,37,198,0,macrotis,N. macrotis luciana,unknown,,24786.31,35.758812,-120.875797,2010,"38,957 ",340,na,1,Allopatric (macrotis),MW,20,Nonscrotal,,,,,no,,"JH Bender, WH Knowlton, SL Widin",,,no,Low,0,no,None,,no,0,,,,,,,,,,,,,0.008660935
200,MW-8,Male,Adult,242,2.383815366,no,37,8.47,38,198,0,macrotis,N. macrotis luciana,unknown,,24786.31,35.758812,-120.875797,2010,"38,957 ",MMK33,MMK33,1,Allopatric (macrotis),MW,8,Scrotal,,,,,,,"JH Bender, WH Knowlton, SL Widin",,,yes,Low,0,no,Few,,,0,,,,,,,,,,,,,0.008660935
201,PIT-6D,Female,Adult,265,2.423245874,no,35,,39,198,0,macrotis,n/a,macrotis,,13064.95,35.751915,-120.828614,2008,"38,166 ",609,609,1,Allopatric (macrotis),PIT,0,Lactating,,Parous,,,,,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.004938142
202,MW-10,Female,Adult,239,2.378397901,no,34,9.68,36,199,0,macrotis,n/a,macrotis,,24786.31,35.758812,-120.875797,2010,"38,957 ",877,na,1,Allopatric (macrotis),MW,10,Post Lactate,,Parous,Post Lactate,Perforate,,,"JH Bender, WH Knowlton, SL Widin",,bottom two teets lactating,no,Medium,0,no,Moderate,,,0,,,,,,,,,,,,,0.009016788
204,SNM-21,Female,Adult,274,2.437750563,no,35,8.9,36,200,0,macrotis,n/a,macrotis,,8464.98,35.7575,-120.813808,2010,"38,911 ",S187,S187,1,Allopatric (macrotis),SNM,21,Post Lactate,,Parous,,Nonperforate,no,,JH Bender and JA Cromer,updated genotype,,,Low,0,no,Few,,yes,0,Symmetrical,Typical,0.75,2.25,1.75,Crook of Tree,Red Willow,present,Low,present,Salix laevigata,fresh,0.004578907
205,MW-4,Male,Adult,291,2.463892989,no,37,9.6,37,200,0,macrotis,N. macrotis luciana,unknown,,24786.31,35.758812,-120.875797,2010,"38,957 ",MMK30,MMK30,1,Allopatric (macrotis),MW,4,Nonscrotal,,,,,,,"JH Bender, WH Knowlton, SL Widin",,,yes,Low,0,no,None,,,0,,,,,,,,,,,,,0.008660935
206,MW-23,Male,Adult,271,2.432969291,no,36,8.82,37,201,0,macrotis,N. macrotis luciana,unknown,,24786.31,35.758812,-120.875797,2010,"38,959 ",338,na,1,Allopatric (macrotis),MW,23,Scrotal,,,,,no,,JH Bender and WH Knowlton,,,no,Low,0,no,None,,no,0,,,,,,,,,,,,,0.008660935
207,ND-13,Male,Adult,212,2.326335861,no,36,8.01,39,201,0,macrotis,N. macrotis luciana,unknown,,24005.15,35.75807,-120.872856,2010,"38,960 ",MMK62,MMK62,1,Allopatric (macrotis),ND,13,Scrotal,,,,,,,"MM Koenig, AL Estacio, SL Widin",,,yes,Low,0,no,None,,,0,,,,,,,,,,,,,0.00824156
208,SSM-26,Male,Adult,292,2.465382851,no,34,9.14,36,202,0,macrotis,N. macrotis luciana,macrotis,,12222.65,35.752582,-120.825589,2010,"38,913 ",S200,S200,1,Allopatric (macrotis),SSM,26,Scrotal,,,,,no,,JH Bender and JA Cromer,updated genotype,,,Low,0,no,Few,,yes,0,Asymmetrical,Typical,0.75,2,1.25,Crook of Tree,White Alder,present,Low,present,Salix spp.,old,0.004599711
209,SNM-35,Female,Adult,315,2.498310554,no,36,8.66,34,204,0,macrotis,n/a,macrotis,,8301.06,35.757901,-120.813527,2010,"38,910 ",S214,S214,1,Allopatric (macrotis),SNM,35,Lactating,,Parous,,Perforate,no,,MM Koenig and JW Cromer,updated genotype,,,Low,0,no,None,,yes,0,Symmetrical,Typical,0.75,2,1,Log with Sticks,Red Willow,present,Low,present,Artemisia douglasiana,fresh,0.004575751
210,MW-1,Male,Adult,210,2.322219295,no,35,7.56,36,205,0,macrotis,N. macrotis luciana,unknown,,24786.31,35.758812,-120.875797,2010,"38,957 ",191,na,1,Allopatric (macrotis),MW,1,Nonscrotal,,,,,no,,"JH Bender, WH Knowlton, SL Widin",,,no,Low,0,no,None,,no,0,,,,,,,,,,,,,0.008660935
211,SSM-11,Female,Adult,263,2.419955748,no,36,7.84,36,205,0,macrotis,n/a,macrotis,,12363.19,35.752239,-120.82585,2010,"38,913 ",S190,S190,1,Allopatric (macrotis),SSM,11,Post Lactate,,Parous,,Nonperforate,no,,JH Bender and JA Cromer,updated genotype,,,Low,0,no,Few,,yes,2,Symmetrical,Typical,0.75,2,2,Crook of Bush,Willow Species,present,Low,present,,old,0.004845237
212,MW-21B,Male,Adult,240,2.380211242,no,34,8.7,36,206,0,macrotis,N. macrotis luciana,unknown,,24786.31,35.758812,-120.875797,2010,"38,959 ",339,na,1,Allopatric (macrotis),MW,0,Scrotal,,,,,no,,JH Bender and WH Knowlton,,,no,Low,0,no,Few,,no,0,,,,,,,,,,,,,0.008660935
213,MW-5,Female,Adult,240,2.380211242,no,36,8.43,37,206,0,macrotis,n/a,unknown,,24786.31,35.758812,-120.875797,2010,"38,957 ",MMK34,MMK34,1,Allopatric (macrotis),MW,5,Post Lactate,,Parous,Post Lactate,Perforate,,,"JH Bender, WH Knowlton, SL Widin",,,yes,Low,0,no,Few,,,0,,,,,,,,,,,,,0.009016788
215,HR-5,Male,Adult,260,2.414973348,no,37,8.09,39,206,0,macrotis,N. macrotis luciana,unknown,,25540.57,35.758743,-120.878389,2010,"38,957 ",MMK42,MMK42,1,Allopatric (macrotis),HR,5,Partially Descended,,,Testes Partially Descended,,,,"MM Koenig, AL Estacio, LR Anderson, C Faurot-Daniels",,,yes,Low,0,no,Few,,,0,,,,,,,,,,,,,0.009085734
216,ND-31,Male,Adult,297,2.472756449,no,37,7.81,38,207,0,macrotis,N. macrotis luciana,unknown,,24005.15,35.75807,-120.872856,2010,"38,960 ",332,na,1,Allopatric (macrotis),ND,31,Scrotal,,,,,no,,JH Bender and WH Knowlton,,,no,Low,0,no,Few,,no,0,,,,,,,,,,,,,0.00824156
217,MI-8C,Female,Adult,280,2.447158031,no,32,,42,208,0,macrotis,n/a,macrotis,,10902.91,35.75302,-120.819958,2008,"38,166 ",na,602,1,Allopatric (macrotis),MI,0,,,,,,,,JC Crawford,,,,Medium,0,no,,,no,0,,,,,,,,,,,,,0.004698811
218,PIT-17D,Male,Adult,270,2.431363764,no,33,,42,209,0,macrotis,N. macrotis luciana,macrotis,,13208.69,35.75178,-120.829104,2008,"38,166 ",na,611,1,Allopatric (macrotis),PIT,0,,,,,,,,JC Crawford,,,,Medium,0,no,,,no,0,,,,,,,,,,,,,0.00471453
219,SSM-21,Male,Adult,269,2.42975228,no,35,8.72,35,210,0,macrotis,N. macrotis luciana,macrotis,,12288.35,35.752764,-120.826074,2010,"38,913 ",S196,S196,1,Allopatric (macrotis),SSM,21,Scrotal,,,,,no,,JH Bender and JA Cromer,updated genotype,,,Low,0,no,Few,,yes,0,Symmetrical,Typical,1,2,1.75,Log with Sticks,Mulefat,present,Low,present,,old,0.004606428
220,SNM-23,Female,Adult,280,2.447158031,no,37,9.09,35,210,0,macrotis,n/a,macrotis,,8340.66,35.757725,-120.813489,2010,"38,911 ",S228,S228,1,Allopatric (macrotis),SNM,23,Post Lactate,,Parous,,Perforate,no,,MM Koenig and JW Cromer,updated genotype,,,Low,0,no,Few,,yes,0,Symmetrical,Typical,1,2,1.75,Crook of Bush,Coyote Brush,present,Low,present,Salix laevigata,fresh,0.004576462
221,SNM-18,Male,Adult,295,2.469822016,no,38,8.42,37,210,0,macrotis,N. macrotis luciana,unknown,,8584.35,35.757219,-120.814027,2010,"38,910 ",S220,S220,1,Allopatric (macrotis),SNM,18,Scrotal,,,,,no,,MM Koenig and JW Cromer,check,,,Low,0,no,Few,,yes,2,,,,,,,,,,,,,0.004408586
222,SC-37,Female,Adult,278,2.444044796,no,37,8.81,39,210,0,macrotis,n/a,macrotis,,8229.26,35.75801,-120.813315,2010,"38,915 ",S274,S274,1,Allopatric (macrotis),SC,37,Post Lactate,,Parous,,Nonperforate,no,,JH Bender and JA Cromer,updated genotype,,,Low,0,no,None,,yes,3,Asymmetrical,Typical,0.75,2,1.25,Stick,Red Willow,present,Low,present,Salix laevigata,fresh,0.004574546
223,SNM-13,Male,Adult,275,2.439332694,no,35,8.26,40,210,0,macrotis,N. macrotis luciana,macrotis,,8816.69,35.756832,-120.814668,2010,"38,910 ",S181,S181,1,Allopatric (macrotis),SNM,13,Scrotal,,,,,no,,JH Bender and JA Cromer,updated genotype,,,Low,0,no,Few,mites present,yes,0,Symmetrical,Typical,0.75,1.75,1.75,Stick,Arroyo Willow,present,Medium,present,Salix lasiolepis,fresh,0.004411432
225,SNM-8,Male,Adult,335,2.525044807,no,33,9.28,37,211,0,macrotis,N. macrotis luciana,macrotis,,8712.08,35.757032,-120.814414,2010,"38,910 ",S177,S177,1,Allopatric (macrotis),SNM,8,Scrotal,,,,,no,,JH Bender and JA Cromer,updated genotype,,,Low,0,no,Few,,yes,0,Asymmetrical,Typical,1,1.5,1,Crook of Tree,Red Willow,present,Low,present,Baccharis pillularis and Salix laevigata,fresh,0.004410014
226,SSM-12,Male,Adult,320,2.505149978,no,36,8.28,36,212,0,macrotis,N. macrotis luciana,macrotis,,12288.32,35.752473,-120.825766,2010,"38,913 ",S191,S191,1,Allopatric (macrotis),SSM,12,Scrotal,,,,,no,,JH Bender and JA Cromer,,,,Low,0,no,Few,,yes,5,Symmetrical,Typical,1.25,2.75,1.5,Log with Sticks,Mulefat,present,Low,absent,,absent,0.004606425
227,SNM-36,Female,Adult,310,2.491361694,no,38,8.35,38,212,0,macrotis,n/a,macrotis,,8271.06,35.757813,-120.813259,2010,"38,910 ",S213,S213,1,Allopatric (macrotis),SNM,36,Post Lactate,,Parous,,Perforate,no,,MM Koenig and JW Cromer,updated genotype,,,Low,0,no,None,,yes,0,Symmetrical,Atypical,1,1,1,Crook of Tree,Fremont's Cottonwood,present,Low,present,Populus freemontii,old,0.004575235
228,HR-2,Male,Adult,270,2.431363764,no,38,8.11,42,214,0,macrotis,N. macrotis luciana,unknown,,25540.57,35.758743,-120.878389,2010,"38,957 ",MMK40,MMK40,1,Allopatric (macrotis),HR,2,Scrotal,,,,,,,"MM Koenig, AL Estacio, LR Anderson, C Faurot-Daniels",,,yes,Low,0,no,None,,,0,,,,,,,,,,,,,0.009085734
229,PIT-16D,Male,Adult,285,2.45484486,no,35,,42,214,0,macrotis,N. macrotis luciana,macrotis,,13133,35.751875,-120.82887,2008,"38,168 ",na,618,1,Allopatric (macrotis),PIT,0,,,,,,,,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.004704629
230,SSM-25,Female,Adult,249,2.396199347,no,36,8.03,36,215,0,macrotis,n/a,macrotis,,12199.27,35.752538,-120.825437,2010,"38,913 ",S199,3957,1,Allopatric (macrotis),SSM,25,Post Lactate,,Parous,,Nonperforate,no,,JH Bender and JA Cromer,updated genotype,,,Low,0,no,Few,,yes,0,Asymmetrical,Typical,0.75,1.75,1,Crook of Bush,Red Willow,present,Low,present,Platanus racemosa,fresh,0.004825708
231,SSM-7,Male,Adult,231,2.36361198,no,34,7.96,39,220,0,macrotis,N. macrotis luciana,macrotis,,12305.41,35.752383,-120.825746,2010,"38,913 ",S189,S189,1,Allopatric (macrotis),SSM,7,Scrotal,,,,,no,,JH Bender and JA Cromer,updated genotype,,,Low,0,no,Few,,yes,0,Asymmetrical,Typical,0.75,2.5,1.5,Stick,Black Walnut,present,Low,present,Salix laevigata and Artimisia douglasiana,fresh,0.004608193
232,SNM-38,Female,Adult,340,2.531478917,no,37,8.73,36,228,0,macrotis,n/a,macrotis,,8230.6,35.75802,-120.813335,2010,"38,911 ",S224,S224,1,Allopatric (macrotis),SNM,38,Post Lactate,,Parous,,Perforate,no,,MM Koenig and JW Cromer,updated genotype,,,Low,0,no,Few,,yes,0,Asymmetrical,Typical,1,2.5,1.25,Stick,Red Willow,present,Low,present,Salix laevigata,fresh,0.004574568
234,PIT-19D,Female,Adult,270,2.431363764,no,,,,,0,macrotis,n/a,macrotis,,13194.72,35.751861,-120.829124,2008,"38,166 ",na,612,1,Allopatric (macrotis),PIT,0,Lactating,,Parous,,,,,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.00495701
235,MI-17C,Female,Adult,315,2.498310554,no,,,,,0,macrotis,n/a,macrotis,,10852.27,35.753209,-120.819953,2008,"38,168 ",616,na,1,Allopatric (macrotis),MI,0,,,,,,,"Fighter, escaped",JC Crawford,,,,Medium,0,no,,,no,0,,,,,,,,,,,,,0.004694807
237,PIT-4D,Male,Adult,185,2.267171728,no,31,,,,0,macrotis,N. macrotis luciana,macrotis,,13053.34,35.751868,-120.828516,2008,"38,166 ",608,608,1,Allopatric (macrotis),PIT,0,,,,,,,,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.004694408
238,MI-3C,Male,Adult,325,2.511883361,no,31,,,,0,macrotis,N. macrotis luciana,macrotis,,10992.26,35.753148,-120.820552,2008,"38,166 ",na,600,1,Allopatric (macrotis),MI,0,,,,,,,Escaped,JC Crawford,,,,Medium,0,no,,,no,0,,,,,,,,,,,,,0.004497071
240,SC-148,Male,Adult,470,2.672097858,no,46,10.73,42,,0,hybrid,N. fuscipes bullatior,hybrid,F2,1300.64,35.772101,-120.797615,2010,"38,930 ",478,3983,2,Near Sympatry (macrotis),SC,148,Scrotal,,,,,yes,,"JH Bender, MM Koenig, AL Estacio, SA Snyder",,Possible Hybrid Phallus (picture 100-4764(65)),,Low,0,no,None,,no,0,Asymmetrical,Typical,1.5,3.25,1,Hollow Log,Red Willow,present,Medium,present,Salix laevigata,fresh,0.009662471
263,ENR-5J,Male,Adult,320,2.505149978,no,33,,39,160,0,macrotis,N. macrotis luciana,macrotis,,1849.31,35.771136,-120.799045,2009,"38,536 ",830,830,2,Near Sympatry (macrotis),ENR,0,,,,,,,Stub Tail,JC Crawford,,,,Medium,0,no,,,no,0,,,,,,,,,,,,,0.00469965
264,ENR-19A,Female,Adult,230,2.361727836,no,35,,40,160,0,macrotis,n/a,macrotis,,2153.64,35.770656,-120.799899,2008,"38,132 ",446,446,2,Near Sympatry (macrotis),ENR,0,Lactating,,Parous,,,,"Super hypothermic, but recovered",JC Crawford,,,,High,0,no,,,no,0,,,,,,,,,,,,,0.004794818
271,GL-10D,Male,Adult,357,2.552668216,no,36,,42,165,0,macrotis,N. macrotis luciana,macrotis,,1800.59,35.771224,-120.798921,2008,"38,149 ",523,523,2,Near Sympatry (macrotis),GL,0,,,,,,,,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.004703901
277,SC-5,Male,Adult,230,2.361727836,no,39,7.97,37,171,0,macrotis,N. macrotis luciana,macrotis,,2875.96,35.769199,-120.80156,2010,"38,915 ",S240,S240,2,Near Sympatry (macrotis),SC,5,Scrotal,,,red tipped phallus,,no,,MM Koenig and JW Cromer,,,,Low,0,no,None,,yes,4,Asymmetrical,Typical,1,5,2,Stick,Fremont's Cottonwood,present,Low,present,Populus fremontii and Sambucus mexicana,fresh,0.004616626
280,SC-74,Male,Adult,215,2.33243846,no,35,7.91,36,173,0,macrotis,N. macrotis luciana,macrotis,,2075.12,35.770913,-120.799826,2010,"38,920 ",S321,S321,2,Near Sympatry (macrotis),SC,74,Partially Descended,,,Testes partially descended,,no,,MM Koenig and JW Cromer,updated genotype,,,Low,0,no,Few,,yes,0,Asymmetrical,Typical,1.25,2.25,1,Crook of Bush,Coyote Brush,present,Low,present,Salix laevigata and Baccharis pilularis,fresh,0.004680317
281,SC-99,Male,Adult,310,2.491361694,no,35,8.51,37,173,0,macrotis,N. macrotis luciana,macrotis,,2235.81,35.770692,-120.800307,2010,"38,921 ",452,452,2,Near Sympatry (macrotis),SC,99,Scrotal,,,,,yes,,MM Koenig and JW Cromer,,,,Low,0,no,Few,,yes,0,Asymmetrical,Typical,1,3,1,Crook of Tree,Red Willow,present,Medium,present,Artemisia douglasiana,old,0.004666928
283,SC-85,Female,Adult,325,2.511883361,no,38,9.15,36,174,0,macrotis,n/a,macrotis,,2564.47,35.769899,-120.800926,2010,"38,921 ",S332,S332,2,Near Sympatry (macrotis),SC,85,Post Lactate,,Parous,,Perforate,no,,MM Koenig and JW Cromer,updated genotype,,,Low,0,no,Few,,yes,7,Symmetrical,Typical,1.25,2.5,2,Stick,Arroyo Willow,present,Medium,present,Salix lasiolepis,fresh,0.00476254
286,SC-120,Female,Adult,279,2.445604203,no,34,8.8,34,175,0,macrotis,n/a,macrotis,,1813.95,35.771399,-120.799178,2010,"38,921 ",528,528,2,Near Sympatry (macrotis),SC,120,Post Lactate,,Parous,,Nonperforate,yes,,JH Bender and JA Cromer,,,,Low,0,no,None,,yes,0,Symmetrical,Typical,0.5,0.75,0.5,Log with Sticks,Red Willow,present,Low,present,Artemisia douglasiana,fresh,0.004823259
291,SC-118,Female,Adult,300,2.477121255,no,35,10.09,36,178,0,macrotis,n/a,macrotis,,1842.75,35.771384,-120.79929,2010,"38,922 ",S390,S390,2,Near Sympatry (macrotis),SC,118,Post Lactate,,Parous,,Perforate,no,,JH Bender and JA Cromer,updated genotype,,,Low,0,no,None,,yes,0,Asymmetrical,Typical,0.75,2.75,0.5,Log with Sticks,Red Willow,present,Low,present,Artemisia douglasiana,old,0.004820786
293,SC-26,Male,Adult,350,2.544068044,no,35,9.69,40,178,0,macrotis,N. macrotis luciana,macrotis,,2777.93,35.769615,-120.80158,2010,"38,915 ",S271,S271,2,Near Sympatry (macrotis),SC,26,Scrotal,,,,,no,,MM Koenig and JW Cromer,updated genotype,,,Low,0,no,None,,yes,0,Symmetrical,Typical,1,1,0.5,Log with Sticks,Red Willow,present,Medium,present,Populus freemontii,old,0.004624014
294,ENR-8A,Male,Adult,,,no,32,,43,178,0,macrotis,N. macrotis luciana,macrotis,,2083.31,35.77089,-120.799838,2008,"38,134 ",454,454,2,Near Sympatry (macrotis),ENR,0,,,,,,,,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.004679627
300,SC-45,Female,Adult,310,2.491361694,no,37,8.04,36,181,0,macrotis,n/a,macrotis,,2483.6,35.770075,-120.800754,2010,"38,919 ",422,422,2,Near Sympatry (macrotis),SC,45,Post Lactate,,Parous,,Perforate,yes,,JH Bender and JA Cromer,,,,Low,0,no,None,,yes,5,Symmetrical,Typical,0.75,2.75,2,Stick,Red Willow,present,Medium,present,Eucalyptus glabulus,old,0.004768711
301,SC-42,Male,Adult,340,2.531478917,no,36,8.51,38,181,0,macrotis,intermediate,macrotis,,2527.28,35.769948,-120.800811,2010,"38,919 ",S286,S286,2,Near Sympatry (macrotis),SC,42,Scrotal,,,phallus swollen most likely macrotis,,no,,JH Bender and JA Cromer,updated genotype,,,Low,0,no,None,,yes,4,Symmetrical,Typical,0.5,1,1,Stick,Red Willow,present,Low,present,Salix lasiolepis,fresh,0.004643423
302,SC-25,Male,Adult,256,2.408239965,no,34,8.88,38,181,0,macrotis,N. macrotis luciana,macrotis,,2811.06,35.769556,-120.801665,2010,"38,915 ",S278,S278,2,Near Sympatry (macrotis),SC,25,Scrotal,,,,,no,,JH Bender and JA Cromer,updated genotype,,,Low,0,no,None,,yes,0,Asymmetrical,Typical,1,1.5,0.75,Crook of Tree,Fremont's Cottonwood,present,Low,present,Salix exgua,fresh,0.004621505
311,GL-13C,Female,Adult,262,2.418301291,no,31,,40,182,0,macrotis,n/a,macrotis,,1928.27,35.771014,-120.79927,2008,"38,150 ",530,530,2,Near Sympatry (macrotis),GL,0,Post Lactate,,Parous,,,,,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.00481351
312,NR-5A,Male,Adult,290,2.462397998,no,33,,41,182,0,macrotis,n/a,macrotis,,2601.23,35.769811,-120.800995,2008,"38,129 ",416,416,2,Near Sympatry (macrotis),NR,0,,,,,,,,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.004637619
313,SC-22,Female,Adult,295,2.469822016,no,37,9.17,36,183,0,macrotis,n/a,macrotis,,2818.35,35.769436,-120.801566,2010,"38,916 ",S304,S304,2,Near Sympatry (macrotis),SC,22,Post Lactate,,Parous,,Perforate,no,,JH Bender and JA Cromer,updated genotype,,,Low,0,no,None,,yes,0,Symmetrical,Typical,0.5,2.25,2.25,Stick,Red Willow,present,Low,present,Salix spp.,old,0.004743753
314,SC-58,Female,Adult,300,2.477121255,no,35,9.69,37,183,0,macrotis,n/a,macrotis,,2150.64,35.770558,-120.799772,2010,"38,919 ",S291,S291,2,Near Sympatry (macrotis),SC,58,Post Lactate,,Parous,,Nonperforate,no,,JH Bender and JA Cromer,updated genotype,,,Low,0,no,None,,yes,0,Asymmetrical,Typical,1,2,1,Log with Sticks,Red Willow,present,High,present,Salix laevigata,old,0.004795063
316,GL-20D,Male,Adult,292,2.465382851,no,32,,41,183,0,macrotis,N. macrotis luciana,macrotis,,1897.34,35.771306,-120.79945,2008,"38,149 ",na,519,2,Near Sympatry (macrotis),GL,0,,,,,,,Caught next to female 520,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.004695487
319,SC-73,Male,Adult,244,2.387389826,no,36,7.62,39,184,0,macrotis,N. macrotis luciana,macrotis,,2048.55,35.77094,-120.799736,2010,"38,920 ",S322,S322,2,Near Sympatry (macrotis),SC,73,Partially Descended,,,Testes partially descended,,no,,MM Koenig and JW Cromer,updated genotype,,,Low,0,no,Few,,yes,0,Symmetrical,Typical,0.75,1.75,1.5,Crook of Tree,Red Willow,present,Low,present,Artemisia douglasiana,fresh,0.00468256
320,SC-114,Male,Adult,360,2.556302501,no,35,10.33,40,184,0,macrotis,N. macrotis luciana,macrotis,,1962.05,35.77122,-120.799646,2010,"38,921 ",S382,S382,2,Near Sympatry (macrotis),SC,114,Scrotal,,,,,no,,JH Bender and JA Cromer,updated genotype,,,Low,0,no,None,,yes,0,,,,,,,,,,,,,0.004689922
321,SC-89,Male,Adult,310,2.491361694,no,40,8,41,184,0,macrotis,N. macrotis luciana,unknown,,2619.37,35.770027,-120.80131,2010,"38,921 ",S336,S336,2,Near Sympatry (macrotis),SC,89,Scrotal,,,,,no,,MM Koenig and JW Cromer,,,,,0,no,,,yes,9,Symmetrical,Typical,1,2,1.75,Log with Sticks,Coyote Brush,present,High,absent,,absent,0.004636206
322,GL-16C,Male,Adult,357,2.552668216,no,33,,45,184,0,macrotis,N. macrotis luciana,macrotis,,1748.91,35.771496,-120.798991,2008,"38,149 ",518,518,2,Near Sympatry (macrotis),GL,0,,,,,,,,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.004708441
